Compound,ICSD#,Lattice,Pearson,Ncell,Eg,Efitg,me,mh,hPni/L,Pn1/L,Pn2/L,Pn3/L,hPpi/L,Pp1/L,Pp2/L,Pp3/L
As1H1O4Pb1,29552,mcl,mP14,14,2.99,4.94,0.56,1.26,0.37,0.25,0.32,0.54,0.99,0.69,1.12,1.15
As1I3,23003,rhl(1),hR8,8,2.21,3.90,1.09,0.74,2.29,1.90,2.39,2.58,4.38,1.35,5.58,6.21
As1La1Te1,280231,orc,oP12,12,0.10,1.05,0.17,0.17,0.47,0.40,0.43,0.58,1.40,1.10,1.34,1.74
As1Li1Mg1O4,67523,orc,oP28,28,3.46,5.58,0.50,3.80,1.76,1.18,1.78,2.33,8.41,3.28,5.32,16.62
As1Li1Mg1,107954,fcc,cF12,3,1.32,2.70,0.28,1.49,0.16,0.16,0.16,0.16,0.70,0.70,0.70,0.70
As1Li1Mo1O6,15035,orc,oP36,36,2.41,4.16,3.83,5.43,6.94,3.76,5.12,11.95,10.15,2.92,3.00,24.54
As1Li1O3,16617,mclc(1),mS40,20,2.93,4.86,0.57,3.61,2.28,0.77,2.24,3.83,9.33,6.90,8.05,13.04
As1Li1O3,202862,rhl(1),hR10,10,3.38,5.46,0.51,3.82,1.32,0.57,1.23,2.17,11.66,10.41,10.69,13.86
As1Li1O5Ti1,78105,orc,oP32,32,3.29,5.35,4.30,3.56,14.58,2.48,11.78,29.47,13.47,5.55,8.25,26.61
As1Li1Zn1,74504,fcc,cF12,3,0.95,2.19,0.12,0.79,0.09,0.09,0.09,0.09,0.43,0.43,0.43,0.43
As1Li1,26472,mcl,mP16,16,0.38,1.42,0.87,0.25,1.64,1.46,1.67,1.80,0.78,0.34,0.77,1.22
As1Li2Na1O4,73200,orc,oP16,16,3.89,6.16,0.54,4.07,0.48,0.10,0.58,0.76,11.59,10.52,11.51,12.75
As1Li3O4,75927,orc,oP16,16,4.13,6.48,0.61,3.17,2.70,0.53,3.23,4.34,13.55,6.90,14.20,19.56
As1Li3S3,59381,orc,oP28,28,2.29,3.99,0.64,2.10,5.99,5.58,5.88,6.50,13.38,6.32,15.38,18.43
As1Lu1O4,2506,bct(1),tI24,12,3.53,5.67,0.44,2.63,1.86,1.70,1.70,2.19,6.60,4.82,4.82,10.16
